id,version,genre,musicName,artist,bpm,easy,normal,hyper,extra,inFolderCheck,created_at,updated_at
1,1,J-テクノ,Quick Master,act deft,147,2,10,23,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
2,1,アニメヒーロー,The theme of GAMBLER Z,words:RYO song:NARAMCHA,161,-1,18,23,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
3,1,スパイ,SPICY PIECE,ORIGINAL SOUND TRACKS,156,-1,23,29,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
4,1,ダンス,Hi-Tekno,Hi-Tekno,140,-1,17,24,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
5,1,テクノポップ,Electronic Fill,Windslope,121,-1,19,24,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
6,1,ファンタジー,monde des songe,Bikke,119,3,11,30,36,1,2025-02-12 22:30:00,2025-02-12 22:30:00
7,1,ボーナストラック,すれちがう二人,aprésmidi,136,-1,18,-1,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
8,1,ポップス,I REALLY WANT TO HURT YOU,SUGI & REO,142,1,14,19,38,1,2025-02-12 22:30:00,2025-02-12 22:30:00
9,1,ラテン,El pais del sol,Senórita Rica,106-109,-1,12,-1,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
10,1,レイヴ,e-motion,e.o.s,145,-1,21,-1,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
11,2,J-R&B,SAYONARA,ANNA,94,-1,18,-1,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
12,2,アイドルガール,LOVE FIRE,長沢ゆりか,107,-1,17,30,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
13,2,ヴィジュアル,WHITE BIRDS,violent age,122,-1,18,-1,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
14,2,エンカ,お江戸花吹雪,高田香里,139,-1,20,24,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
15,2,ガーリィ,Love Is Strong To The Sky,SAORI,119,-1,26,-1,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
16,2,デジロック,ROSE～恋人よ、薔薇色に染まれ,大浦祐一,124,-1,20,31,38,1,2025-02-12 22:30:00,2025-02-12 22:30:00
17,2,ネオアコ,(fly higher than)the stars,SUGI & REO,154,-1,18,30,43,1,2025-02-12 22:30:00,2025-02-12 22:30:00
18,2,ヘビーメタル,I'm on Fire,AD/DA,150,-1,30,43,49,1,2025-02-12 22:30:00,2025-02-12 22:30:00
19,2,ポップラップ,Smile The Night Away,Scotty D,117,-1,20,-1,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
20,2,マサラ,すてきなタブーラ,TABAN KING,129,-1,12,35,44,1,2025-02-12 22:30:00,2025-02-12 22:30:00
21,2,メロウ,光の季節,ANNA,109,-1,16,-1,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
22,2,ラウンジ,Cherry&Raquel,The Ebisu Singers,162,-1,17,-1,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
23,3,カントン,和你一起走,Cathy Lau,136,-1,19,35,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
24,3,ギターポップ,Take me to...,Sana,108,-1,16,-1,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
25,3,ケルト,水中家族のテーマ,パーキッツ,110,-1,15,37,44,1,2025-02-12 22:30:00,2025-02-12 22:30:00
26,3,サウンドトラック,宇宙船Q-Mex,Q-Mex,128,-1,24,33,42,1,2025-02-12 22:30:00,2025-02-12 22:30:00
27,3,ハートフル,peppermint,ASAI PROJECT（Vo：M.Fujino）,103,-1,15,-1,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
28,3,パンク,LET ME FEEL SO HIGH,Little Bitch.K²,160,-1,20,36,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
29,3,マジカルガール,恋のシャレード,パーキッツ,145,-1,15,-1,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
30,3,モンド,Little Robin's Drawer,Uncle Motchee,120,-1,14,-1,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
31,3,ユーロダンス,Bit of Love,"Super Wink ""fut"" Ryo Arshe",137,-1,20,-1,-1,1,2025-02-12 22:30:00,2025-02-12 22:30:00
32,3,ラブリー,8月のサヨナラ,aprésmidi,108,-1,21,33,41,1,2025-02-12 22:30:00,2025-02-12 22:30:00
